order_id,customer_id,order_date,product_id,quantity,unit_price,status,payment_method
ORD10060,CUST2,2026-02-19,P1012,3,73.26,shipped,paypal
ORD210007,CUST11,2026-06-06,P1007,5,154.02,placed,bank_transfer
ORD10120,CUST37,2026-01-16,P1019,1,237.16,Shipped,cash_on_delivery
ORD10208,CUST26,2026-01-11,P1013,1,117.64,Placed,paypal
ORD10200,CUST22,2026-02-10,P1011,3,181.79,shipped,credit_card
ORD10275,CUST2,2026-04-03,P1017,5,95.38,delivered,bank_transfer
ORD210003,CUST54,2026-06-08,P1001,4,61.25,placed,credit_card
ORD210008,CUST50,2026-06-01,P1010,4,51.06,placed,credit_card
ORD10238,CUST52,2026-02-05,P1008,1,162.09,DELIVERED,bank_transfer
ORD10147,CUST3,2026-02-02,P1016,5,86.34,shipped,PayPal
ORD10294,CUST38,2026-04-01,P1001,1,73.93,Cancelled,
ORD10177,CUST51,2026-03-27,P1007,2,197.81,delivered,credit_card
ORD10116,CUST8,2026-01-17,P1012,4,23.15,placed,Credit_Card
ORD10180,CUST35,2026-03-06,P1005,1,166.96,shipped,Credit_Card
ORD210005,CUST50,2026-06-09,P1005,3,164.89,placed,credit_card
ORD10026,CUST34,2026-04-19,P1006,5,190.04,delivered,cash_on_delivery
ORD10003,CUST14,2026-03-01,P1016,5,11.5,delivered,cash_on_delivery
ORD10260,CUST60,2026-05-13,P1008,1,183.13,shipped,PayPal
ORD10090,CUST22,2026-04-08,P1008,4,66.81,shipped,PayPal
ORD10231,CUST14,2026-03-29,P1015,2,60.5,delivered,Credit_Card
ORD10249,CUST28,2026-01-01,P1019,3,63.94,cancelled,Credit_Card
ORD10095,CUST20,2026-01-28,P1018,1,232.58,cancelled,PayPal
ORD10037,CUST27,2026-05-05,P1015,2,216.84,shipped,Credit_Card
ORD10296,CUST24,2026-04-14,P1011,1,103.14,delivered,paypal
ORD10051,CUST6,2026-04-19,P1008,1,5.87,delivered,cash_on_delivery
ORD10002,CUST7,2026-05-20,P1002,5,108.37,placed,credit_card
ORD210006,CUST47,2026-06-03,P1004,2,138.6,placed,cash_on_delivery
ORD10088,CUST38,2026-05-25,P1000,1,162.47,delivered,PayPal
ORD10061,CUST23,2026-05-11,P1012,5,86.13,shipped,credit_card
ORD210001,CUST17,2026-06-03,P1004,5,230.4,shipped,credit_card
ORD10033,CUST56,2026-01-14,P1003,1,103.64,DELIVERED,credit_card
ORD10001,CUST41,2026-01-29,P1000,3,65,delivered,cash_on_delivery
ORD10130,CUST3,2026-02-14,P1015,5,164.62,delivered,Credit_Card
ORD10283,CUST43,2026-03-28,P1018,1,207.18,shipped,credit_card
ORD10141,CUST16,2026-04-27,P1017,2,98.98,delivered,credit_card
ORD210004,CUST32,2026-06-03,P1008,3,165.93,placed,paypal
ORD210002,CUST4,2026-06-06,P1016,2,141.04,shipped,paypal
ORD10096,CUST46,2026-02-20,P1002,5,174.2,delivered,credit_card
