order_id,customer_id,product_id,quantity,unit_price,region,status,order_date,ingest_date,line_item_seq
1,5769,8,7,232.46,LATAM,PROCESSING,2026-01-04,2026-01-01,1
2,2643,388,6,185.91,NA,DELIVERED,2026-01-05,2026-01-01,1
3,556,239,5,189.29,APAC,DELIVERED,2026-01-03,2026-01-01,1
4,2255,133,6,201.49,NA,SHIPPED,2026-01-05,2026-01-01,1
5,1141,420,2,246.48,EU,PLACED,2026-01-05,2026-01-01,1
6,6022,364,5,5.56,LATAM,SHIPPED,2026-01-02,2026-01-01,1
7,6149,262,3,138.93,EU,PROCESSING,2026-01-03,2026-01-01,1
8,3805,316,1,226.0,EU,DELIVERED,2026-01-03,2026-01-01,1
9,6062,222,3,209.85,APAC,DELIVERED,2026-01-03,2026-01-01,1
10,7963,488,7,27.29,NA,PLACED,2026-01-05,2026-01-01,1
11,6643,358,1,79.55,NA,DELIVERED,2026-01-04,2026-01-01,1
12,5746,101,2,43.44,NA,CANCELLED,2026-01-03,2026-01-01,1
13,1786,105,6,216.25,LATAM,SHIPPED,2026-01-05,2026-01-01,1
14,7469,439,7,149.26,NA,DELIVERED,2026-01-02,2026-01-01,1
15,7593,122,9,206.21,LATAM,DELIVERED,2026-01-04,2026-01-01,1
16,6132,467,8,168.55,LATAM,PROCESSING,2026-01-02,2026-01-01,1
17,1114,490,8,121.05,EU,CANCELLED,2026-01-04,2026-01-01,1
18,3100,427,8,241.78,APAC,SHIPPED,2026-01-05,2026-01-01,1
19,5046,210,5,209.41,LATAM,SHIPPED,2026-01-01,2026-01-01,1
20,3616,255,7,212.34,LATAM,DELIVERED,2026-01-04,2026-01-01,1
21,1241,277,5,243.91,EU,SHIPPED,2026-01-02,2026-01-01,1
22,3893,357,9,41.53,EU,PLACED,2026-01-05,2026-01-01,1
23,71,188,5,216.67,NA,SHIPPED,2026-01-04,2026-01-01,1
24,7932,299,6,186.2,LATAM,DELIVERED,2026-01-01,2026-01-01,1
25,4126,438,2,16.74,NA,PROCESSING,2026-01-01,2026-01-01,1
26,7424,465,1,29.12,NA,DELIVERED,2026-01-03,2026-01-01,1
27,2869,159,8,236.1,APAC,SHIPPED,2026-01-03,2026-01-01,1
28,4767,213,9,81.04,NA,PROCESSING,2026-01-02,2026-01-01,1
29,5516,75,6,42.26,APAC,DELIVERED,2026-01-04,2026-01-01,1
30,1545,445,3,228.39,APAC,PLACED,2026-01-04,2026-01-01,1
31,5090,80,9,199.17,NA,CANCELLED,2026-01-03,2026-01-01,1
32,2371,73,1,130.44,APAC,PROCESSING,2026-01-04,2026-01-01,1
33,2418,115,6,175.44,LATAM,PLACED,2026-01-04,2026-01-01,1
34,1180,279,7,249.66,NA,DELIVERED,2026-01-01,2026-01-01,1
35,5102,103,2,61.73,NA,SHIPPED,2026-01-03,2026-01-01,1
36,6358,23,5,73.19,NA,PLACED,2026-01-05,2026-01-01,1
37,2714,308,9,52.4,APAC,PLACED,2026-01-03,2026-01-01,1
38,1107,259,3,72.69,LATAM,PROCESSING,2026-01-05,2026-01-01,1
39,2453,177,6,31.4,APAC,DELIVERED,2026-01-01,2026-01-01,1
40,4709,70,3,211.23,EU,SHIPPED,2026-01-02,2026-01-01,1
41,7178,148,8,44.89,LATAM,PLACED,2026-01-04,2026-01-01,1
42,5968,207,2,98.73,APAC,PROCESSING,2026-01-01,2026-01-01,1
43,3352,110,4,145.32,LATAM,PLACED,2026-01-04,2026-01-01,1
44,281,30,8,215.11,EU,PLACED,2026-01-02,2026-01-01,1
45,1716,416,7,36.52,EU,DELIVERED,2026-01-02,2026-01-01,1
46,1114,248,3,163.38,EU,PROCESSING,2026-01-01,2026-01-01,1
47,2177,70,5,206.39,LATAM,PROCESSING,2026-01-02,2026-01-01,1
48,4405,415,2,218.74,EU,PLACED,2026-01-05,2026-01-01,1
49,1988,400,8,230.29,APAC,PROCESSING,2026-01-02,2026-01-01,1
50,4581,29,1,23.15,NA,SHIPPED,2026-01-04,2026-01-01,1
