order_id,customer_id,product_id,quantity,unit_price,region,status,order_date,ingest_date,line_item_seq
60001,1811,330,9,229.19,NA,CANCELLED,2026-01-08,2026-01-02,1
60002,6269,280,8,94.62,LATAM,PLACED,2026-01-10,2026-01-02,1
60003,740,289,7,183.4,APAC,PROCESSING,2026-01-08,2026-01-02,1
60004,7133,343,6,158.61,APAC,PROCESSING,2026-01-09,2026-01-02,1
60005,3340,197,2,22.09,NA,DELIVERED,2026-01-07,2026-01-02,1
60006,1563,104,8,208.8,APAC,PLACED,2026-01-06,2026-01-02,1
60007,5967,201,7,232.12,NA,SHIPPED,2026-01-09,2026-01-02,1
60008,3740,119,2,110.67,LATAM,PROCESSING,2026-01-09,2026-01-02,1
60009,3964,182,7,93.75,APAC,CANCELLED,2026-01-08,2026-01-02,1
60010,3042,462,3,181.02,APAC,DELIVERED,2026-01-06,2026-01-02,1
60011,5676,416,7,85.54,APAC,SHIPPED,2026-01-06,2026-01-02,1
60012,4959,315,7,79.15,LATAM,PROCESSING,2026-01-07,2026-01-02,1
60013,7069,123,3,29.62,LATAM,PROCESSING,2026-01-07,2026-01-02,1
60014,408,416,5,50.71,LATAM,PROCESSING,2026-01-10,2026-01-02,1
60015,1661,80,6,134.47,LATAM,DELIVERED,2026-01-09,2026-01-02,1
60016,7584,171,1,235.89,EU,PROCESSING,2026-01-07,2026-01-02,1
60017,561,174,6,79.27,APAC,DELIVERED,2026-01-10,2026-01-02,1
60018,2957,470,9,191.86,EU,PROCESSING,2026-01-10,2026-01-02,1
60019,7641,19,3,173.3,APAC,SHIPPED,2026-01-06,2026-01-02,1
60020,4831,107,8,64.7,EU,CANCELLED,2026-01-07,2026-01-02,1
60021,5756,437,5,153.15,APAC,DELIVERED,2026-01-10,2026-01-02,1
60022,195,487,2,165.9,LATAM,PLACED,2026-01-08,2026-01-02,1
60023,1904,357,1,104.1,LATAM,PLACED,2026-01-06,2026-01-02,1
60024,6057,447,1,237.56,APAC,DELIVERED,2026-01-10,2026-01-02,1
60025,1462,167,2,182.24,EU,PLACED,2026-01-10,2026-01-02,1
60026,2274,447,6,65.45,LATAM,PLACED,2026-01-10,2026-01-02,1
60027,449,351,3,98.1,NA,PROCESSING,2026-01-06,2026-01-02,1
60028,4585,19,1,120.19,NA,PLACED,2026-01-08,2026-01-02,1
60029,4549,409,5,92.78,LATAM,PROCESSING,2026-01-09,2026-01-02,1
